PUID_SIX,High_School,High_School_Name,High_School_Grad_Date,High_School_Graduation_Year,High_School_GPA,SUBJECT,SUBJECT_DESC,YEARS_TAKEN,GRADE,GPA
255924,870106,ITESM Campus Santa Fe,"May 1, 2020",2020,3.51,MATH,Academic Math TOTAL,3,,3.17
255932,150725,Daleville Jr-Sr High School,"June 1, 2019",2019,3.7,MATH,Academic Math TOTAL,4,,3.96
255966,140447,Buffalo Grove High School,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,3,,3.50
255978,153745,West Lafayette Jr-Sr Hs,"May 1, 2020",2020,3.67,MATH,Academic Math TOTAL,3,,3.40
256036,151936,McCutcheon High School,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.62
256071,192041,Lusher Charter School,"May 1, 2020",2020,3.68,MATH,Academic Math TOTAL,3,,3.67
256076,052770,Sir Francis Drake High School,"June 1, 2020",2020,3.83,MATH,Academic Math TOTAL,4,,3.88
256084,051106,Granite Bay High School,"June 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.92
256093,150448,University High School Indiana,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,5,,3.87
256124,331740,Ward Melville High School,"June 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,4.00
256169,151041,Fishers High School,"June 1, 2020",2020,3.98,MATH,Academic Math TOTAL,5,,4.00
256178,152615,Noblesville High School,"June 1, 2020",2020,3.85,MATH,Academic Math TOTAL,4,,4.00
256231,682000,Global Vision Christian School,"February 1, 2020",2020,3.99,MATH,Academic Math TOTAL,3.5,,4.00
256251,153415,Terre Haute North Vigo Hs,"June 1, 2020",2020,3.97,MATH,Academic Math TOTAL,5.5,,4.00
256258,150445,Carmel High School,"May 1, 2020",2020,3.34,MATH,Academic Math TOTAL,3,,3.22
256320,151165,Clinton Prairie High School,"May 1, 2020",2020,3.18,MATH,Academic Math TOTAL,3,,3.00
256348,143215,Glenbrook North High School,"May 1, 2020",2020,3.58,MATH,Academic Math TOTAL,3,,3.00
256369,150335,Brownsburg High School,"June 1, 2020",2020,3.29,MATH,Academic Math TOTAL,3,,3.62
256377,141860,Evanston Township High School,"May 1, 2020",2020,3.49,MATH,Academic Math TOTAL,3,,3.12
256399,150500,Chesterton High School,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,3,,3.57
256403,150610,Columbus North High School,"May 1, 2020",2020,3.93,MATH,Academic Math TOTAL,4,,3.91
256439,030401,Horizon High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
256459,152474,Indiana Ac Sci/Math/Humanities,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,5.5,,3.97
256472,260728,Columbia-Rock Bridge Senior Hs,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,4,,3.75
256481,152489,Munster High School,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,4,,3.76
256490,053033,Ruth Asawa School of the Arts,"June 1, 2020",2020,3.82,MATH,Academic Math TOTAL,5,,4.00
256502,262545,Park Hill Senior High School,"May 1, 2020",2020,3.8,MATH,Academic Math TOTAL,6,,3.85
256523,311365,Somerville High School,"June 1, 2020",2020,3.44,MATH,Academic Math TOTAL,3,,3.07
256534,152503,Floyd Central High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,3.97
256540,150608,Columbus East High School,"May 1, 2020",2020,3.88,MATH,Academic Math TOTAL,4,,3.71
256545,040115,Batesville High School,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3,,3.90
256552,181525,Dupont Manual High School,"May 1, 2020",2020,3.93,MATH,Academic Math TOTAL,3,,4.00
256572,342691,Lake Norman High School,"May 1, 2020",2020,3.11,MATH,Academic Math TOTAL,4,,2.85
256575,153130,Salem High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,4.00
256670,151936,McCutcheon High School,"May 1, 2020",2020,3.8,MATH,Academic Math TOTAL,4,,3.38
256692,152735,Benton Central Senior Hs,"June 1, 2020",2020,3.09,MATH,Academic Math TOTAL,4,,2.54
256717,151045,Hamilton Southeastern Hs,"June 1, 2020",2020,3.23,MATH,Academic Math TOTAL,4,,2.88
256757,153795,Whiteland Community Hs,"May 1, 2020",2020,3.56,MATH,Academic Math TOTAL,3,,3.57
256762,430705,Franklin High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3.5,,4.00
256836,053078,Archbishop Mitty High School,"May 1, 2020",2020,3.21,MATH,Academic Math TOTAL,3,,3.35
256850,151936,McCutcheon High School,"May 1, 2020",2020,3.68,MATH,Academic Math TOTAL,3,,3.32
256924,150380,Maconaquah High School,"June 1, 2020",2020,3.82,MATH,Academic Math TOTAL,4,,3.89
256927,141735,Edwardsville Senior Hs,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,3.96
256943,070282,Engineering & Sci Univ Magnet,"June 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.77
256950,UNKHSC,Unknown High School,"June 1, 2020",2020,3.38,MATH,Academic Math TOTAL,2,,3.50
257006,443332,Awty International School,"May 1, 2020",2020,3.35,MATH,Academic Math TOTAL,3,,2.80
257022,152510,Pike High School,"May 1, 2020",2020,3.3,MATH,Academic Math TOTAL,2,,3.08
257024,052075,Mountain View High School,"June 1, 2020",2020,3.62,MATH,Academic Math TOTAL,3,,3.50
257028,150910,Concord High School,"June 1, 2020",2020,3.96,MATH,Academic Math TOTAL,5.5,,3.85
257057,152515,Castle High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,3,,3.78
257059,480698,Mercer Island High School,"June 1, 2020",2020,3.49,MATH,Academic Math TOTAL,4.5,,3.12
257068,151385,Eastern High School,"May 1, 2020",2020,3.59,,,,,
257071,143455,Peotone High School,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,3,,3.85
257073,151647,Avon High School,"May 1, 2020",2020,3.94,MATH,Academic Math TOTAL,3.5,,3.96
257086,231300,East Lansing High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
257087,362792,Kettering Fairmont High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,3.94
257113,150695,Culver Academies,"May 1, 2020",2020,3.52,MATH,Academic Math TOTAL,2.75,,3.27
257114,300130,Pinkerton Academy,"June 1, 2020",2020,3.81,MATH,Academic Math TOTAL,5,,3.61
257137,232285,Lansing Catholic High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
257195,153485,Indian Creek Senior Hs,"May 1, 2020",2020,3.38,MATH,Academic Math TOTAL,4,,3.72
257248,151080,Mt. Vernon High School,"May 1, 2020",2020,3.52,MATH,Academic Math TOTAL,3.75,,3.27
257256,878121,Nicaragua Christian Academy,"June 1, 2020",2020,3.9,MATH,Academic Math TOTAL,3,,4.00
257266,150520,Churubusco High School,"June 1, 2020",2020,3.99,MATH,Academic Math TOTAL,3,,4.00
257269,070938,Wilton High School,"June 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,2.87
257276,053163,Aragon High School,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,3,,3.50
257285,141805,York Community High School,"May 1, 2020",2020,3.62,MATH,Academic Math TOTAL,3,,3.50
257379,153810,Whiting High School,"May 1, 2020",2020,3.72,MATH,Academic Math TOTAL,4,,3.64
257381,320356,Ask Academy,"May 1, 2020",2020,3.37,MATH,Academic Math TOTAL,3,,2.85
257437,153265,Saint Joseph High School,"May 1, 2020",2020,3.37,MATH,Academic Math TOTAL,3,,3.05
257448,070920,Staples High School,"June 1, 2020",2020,3.44,MATH,Academic Math TOTAL,9.5,,3.51
257477,230087,Greenhills School,"June 1, 2020",2020,3.75,MATH,Academic Math TOTAL,3,,3.45
257499,365753,West Muskingum High School,"May 1, 2020",2020,3.81,MATH,Academic Math TOTAL,4,,3.50
257514,151885,Kouts Junior Senior Hs,"June 1, 2020",2020,3.43,MATH,Academic Math TOTAL,4,,2.96
257532,050270,Carlmont High School,"June 1, 2020",2020,3.55,MATH,Academic Math TOTAL,3,,3.23
257554,110508,North Gwinnett High School,"May 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,3.23
257589,111866,Johns Creek High School,"May 1, 2020",2020,3.85,MATH,Academic Math TOTAL,4,,3.85
257594,444162,Founders Classical Academy,"May 1, 2020",2020,3.62,MATH,Academic Math TOTAL,4,,3.84
257599,335162,Seaford High School,"June 1, 2020",2020,3.97,MATH,Academic Math TOTAL,4,,4.00
257631,181525,Dupont Manual High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,4,,4.00
257633,152785,Pendleton Heights High School,"June 1, 2020",2020,3.83,MATH,Academic Math TOTAL,3,,3.85
257677,151688,Heritage Christian School,"May 1, 2020",2020,3.6,MATH,Academic Math TOTAL,4,,3.38
257685,050970,Mission San Jose High School,"June 1, 2020",2020,3.56,MATH,Academic Math TOTAL,5,,3.70
257721,053463,Lynbrook High School,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,3,,3.17
257737,391238,Twin Valley High School,"June 1, 2020",2020,3.38,MATH,Academic Math TOTAL,4,,3.32
257771,151585,Carroll High School,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,4.00
257805,181525,Dupont Manual High School,"May 1, 2020",2020,3.14,MATH,Academic Math TOTAL,3,,3.50
257830,UNKHSC,Unknown High School,"May 1, 2020",2020,,,,,,
257834,152560,New Palestine High School,"May 1, 2020",2020,3.81,MATH,Academic Math TOTAL,5,,3.52
257849,153635,North Posey High School,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.24
257894,151175,Franklin Community High School,"May 1, 2020",2020,3.8,MATH,Academic Math TOTAL,4,,3.34
257929,151653,Brebeuf Jesuit Preparatory Sch,"May 1, 2020",2020,3.23,MATH,Academic Math TOTAL,3,,2.90
257942,153900,Zionsville Community Hs,"May 1, 2020",2020,3.54,MATH,Academic Math TOTAL,3,,2.98
257944,153900,Zionsville Community Hs,"May 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,3.12
257987,501370,Marquette University Hs,"May 1, 2020",2020,3.3,MATH,Academic Math TOTAL,3,,3.72
257993,671684,Chirec International School,"May 1, 2020",2020,,,,,,
258002,150966,Signature School,"May 1, 2020",2020,3.58,MATH,Academic Math TOTAL,3,,3.67
258005,393730,Mount Lebanon High School,"June 1, 2020",2020,3.28,MATH,Academic Math TOTAL,3,,3.00
258061,151647,Avon High School,"May 1, 2020",2020,3.63,MATH,Academic Math TOTAL,3,,3.45
258085,151651,Roncalli High School,"May 1, 2020",2020,3.12,MATH,Academic Math TOTAL,3,,3.22
258096,140640,Lane Technical High School,"June 1, 2020",2020,3.48,MATH,Academic Math TOTAL,3,,3.17
258100,152495,Northwood High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4.5,,4.00
258120,151717,North Central High School,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,3,,3.50
258158,263180,Smith-Cotton High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,3,,3.95
258164,152400,Twin Lakes High School,"June 1, 2020",2020,3.99,MATH,Academic Math TOTAL,3,,4.00
258184,141393,Marian Catholic High School,"May 1, 2020",2020,3.62,MATH,Academic Math TOTAL,3,,3.45
258189,151103,Homestead High School,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,3,,3.88
258196,222350,Cambridge School Of Weston,"June 1, 2020",2020,3.49,MATH,Academic Math TOTAL,2.75,,3.75
258231,053078,Archbishop Mitty High School,"May 1, 2020",2020,3.27,MATH,Academic Math TOTAL,4,,3.41
258244,100845,Key West High School,"May 1, 2020",2020,3.93,MATH,Academic Math TOTAL,3,,3.67
258256,UNKHSC,Unknown High School,"April 1, 2019",2019,3.35,,,,,
258273,151724,Perry Meridian High School,"June 1, 2020",2020,3.52,MATH,Academic Math TOTAL,3,,3.50
258297,310073,Hillsborough High School,"June 1, 2020",2020,3.68,MATH,Academic Math TOTAL,3,,3.43
258308,242256,Highland Park Senior Hs,"June 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3,,3.28
258309,241658,Saint Anthony Village Hs,"June 1, 2020",2020,3.97,MATH,Academic Math TOTAL,2.5,,3.94
258446,050968,Irvington High School,"May 1, 2020",2020,3.59,MATH,Academic Math TOTAL,3,,3.43
258499,UNKHSC,Unknown High School,"March 1, 2020",2020,,,,,,
258509,143223,West Leyden High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,4.00
258522,052145,North Hollywood High School,"June 1, 2020",2020,3.17,MATH,Academic Math TOTAL,5,,3.50
258530,152645,Tri West Hendricks High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
258548,393655,Central Catholic High School,"May 1, 2020",2020,2.86,MATH,Academic Math TOTAL,3,,3.33
258558,310826,Montville Township High School,"June 1, 2020",2020,3.27,MATH,Academic Math TOTAL,3,,3.00
258585,143343,James B Conant High School,"May 1, 2020",2020,3.56,MATH,Academic Math TOTAL,3,,3.45
258623,471069,Battlefield High School,"June 1, 2020",2020,3.54,MATH,Academic Math TOTAL,4,,3.08
258634,142300,Hinsdale Central High School,"May 1, 2020",2020,3.56,MATH,Academic Math TOTAL,3,,2.73
258646,153635,North Posey High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
258654,361020,Indian Hill High School,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,6,,3.55
258679,151915,Harrison High School,"May 1, 2020",2020,3.75,MATH,Academic Math TOTAL,4,,3.62
258685,242125,Rosemount High School,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4.5,,3.90
258697,363680,John Glenn High School,"May 1, 2020",2020,3.84,MATH,Academic Math TOTAL,3,,3.90
258741,150970,Mater Dei High School,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,4,,3.71
258763,220950,Hanover High School,"June 1, 2020",2020,3.6,MATH,Academic Math TOTAL,4,,3.56
258780,694220,Concordia Inter School Shangha,"May 1, 2020",2020,3.48,MATH,Academic Math TOTAL,3,,3.50
258812,152489,Munster High School,"June 1, 2020",2020,3.37,MATH,Academic Math TOTAL,4,,3.26
258815,311455,Tenafly High School,"June 1, 2020",2020,3.32,MATH,Academic Math TOTAL,3,,3.10
258944,391250,Emmaus High School,"June 1, 2020",2020,3.82,MATH,Academic Math TOTAL,3,,3.47
258957,230088,Pioneer High School,"June 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,3.96
258988,053343,Saratoga High School,"June 1, 2020",2020,3.62,MATH,Academic Math TOTAL,4,,3.76
259007,052462,Piedmont High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,3.25,,3.82
259010,140640,Lane Technical High School,"June 1, 2020",2020,3.84,MATH,Academic Math TOTAL,5,,3.35
259041,335245,Somers High School,"June 1, 2020",2020,3.81,MATH,Academic Math TOTAL,5,,3.72
259048,331490,Corning Painted-Post HS,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,4.00
259138,153255,James W Riley High School,"June 1, 2020",2020,3.33,MATH,Academic Math TOTAL,4,,2.96
259189,152140,Tecumseh Junior Senior Hs,"May 1, 2020",2020,3.53,MATH,Academic Math TOTAL,3.5,,3.40
259190,153565,Valparaiso High School,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,4,,3.85
259230,153900,Zionsville Community Hs,"May 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,3.22
259237,151765,Warren Central High School,"June 1, 2020",2020,3.61,MATH,Academic Math TOTAL,3,,3.73
259302,070010,Avon Old Farms,"May 1, 2020",2020,3.66,MATH,Academic Math TOTAL,4,,3.75
259312,141960,East Leyden High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
259338,392415,Mars Area High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
259365,151225,Andrean High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,4.00
259415,362715,Greeneview High School,"May 1, 2020",2020,3.91,MATH,Academic Math TOTAL,4,,3.85
259416,151314,Clinton Christian High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
259423,242230,Central High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.89
259492,391365,Fairview High School,"June 1, 2020",2020,3.68,MATH,Academic Math TOTAL,5,,3.40
259504,030072,Basis Chandler,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,3,,3.33
259541,151915,Harrison High School,"May 1, 2020",2020,3.66,MATH,Academic Math TOTAL,4,,3.30
259547,150970,Mater Dei High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,4.00
259595,151825,South Newton High School,"May 1, 2022",2022,3.42,MATH,Academic Math TOTAL,4,,2.89
259652,152347,Penn High School,"May 1, 2020",2020,3.4,MATH,Academic Math TOTAL,3,,3.45
259655,151990,La Porte High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3.5,,4.00
259674,110184,Lakeside High School,"May 1, 2020",2020,3.88,MATH,Academic Math TOTAL,3,,4.00
259701,221895,Sharon High School,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.23
259727,233045,Salem High School,"June 1, 2020",2020,3.63,MATH,Academic Math TOTAL,5,,3.34
259740,142078,Glenbrook South High School,"May 1, 2020",2020,3.44,MATH,Academic Math TOTAL,3,,3.67
259786,446782,Elkins High School,"May 1, 2020",2020,3.67,MATH,Academic Math TOTAL,5,,3.44
259801,160387,Pleasant Valley High School,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3.5,,3.47
259807,151041,Fishers High School,"May 1, 2020",2020,3.63,MATH,Academic Math TOTAL,4,,3.66
259818,143347,William Fremd High School,"May 1, 2020",2020,3.24,MATH,Academic Math TOTAL,3,,2.78
259852,365380,Waynesfield-Goshen High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
259867,152345,Mishawaka High School,"June 1, 2020",2020,3.89,MATH,Academic Math TOTAL,3,,3.62
259885,842140,Abraham Lincoln School,"June 1, 2020",2020,3.59,MATH,Academic Math TOTAL,3,,3.95
259898,151660,Cathedral High School,"May 1, 2020",2020,3.76,MATH,Academic Math TOTAL,3,,3.50
259961,240699,Eagle Ridge Academy,"June 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.55
259971,151936,McCutcheon High School,"May 1, 2020",2020,3.39,MATH,Academic Math TOTAL,3,,3.33
259980,153415,Terre Haute North Vigo Hs,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4.5,,4.00
260002,150075,Hamilton Heights High School,"May 1, 2020",2020,3.54,MATH,Academic Math TOTAL,3,,3.32
260035,300418,Bishop Guertin High School,"June 1, 2020",2020,3.9,MATH,Academic Math TOTAL,2,,4.00
260040,441471,Woodlands High School The,"May 1, 2020",2020,3.47,MATH,Academic Math TOTAL,4,,2.84
260066,141860,Evanston Township High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,3,,3.47
260067,152347,Penn High School,"May 1, 2020",2020,3.19,MATH,Academic Math TOTAL,4,,3.01
260074,053229,California High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.96
260085,311079,Parsippany Hills High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,3.43
260091,882191,Academia Interamericana Panama,"December 1, 2019",2019,,,,,,
260106,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.31,MATH,Academic Math TOTAL,4,,3.34
260120,152510,Pike High School,"June 1, 2020",2020,3.19,MATH,Academic Math TOTAL,4,,2.89
260156,UNKHSC,Unknown High School,"June 1, 2020",2020,,,,,,
260219,311263,Princeton Intrntl Sch Math/Sci,"June 1, 2020",2020,,,,,,
260242,142301,Hoffman Estates High School,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.16
260276,694577,Shanghai Jinhua Pvt MS St Mary,"June 1, 2019",2019,3.49,MATH,Academic Math TOTAL,4,,3.21
260283,262820,Rolla High School,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,3,,3.68
260291,UNKHSC,Unknown High School,"June 1, 2020",2020,,,,,,
260419,060082,Regis Jesuit Hs Girls Division,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,3,,4.00
260495,052350,Palo Alto Senior High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,3,,3.22
260541,UNKHSC,Unknown High School,"June 1, 2020",2020,,,,,,
260553,150960,Francis J Reitz High School,"May 1, 2020",2020,3.92,MATH,Academic Math TOTAL,5,,3.80
260665,152615,Noblesville High School,"June 1, 2020",2020,3.84,MATH,Academic Math TOTAL,3,,3.90
260772,330630,Brooklyn Technical High School,"June 1, 2020",2020,3.6,MATH,Academic Math TOTAL,3,,3.77
260786,834250,Lincoln School,"June 1, 2020",2020,3.58,MATH,Academic Math TOTAL,3,,3.05
260792,151350,Greenfield Central High School,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,4,,3.71
260810,UNKHSC,Unknown High School,"March 1, 2020",2020,,,,,,
260859,152852,Plainfield High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,5,,3.97
260901,470788,W T Woodson High School,"June 1, 2020",2020,3.42,MATH,Academic Math TOTAL,6,,2.98
260917,310826,Montville Township High School,"June 1, 2020",2020,3.4,MATH,Academic Math TOTAL,4.25,,2.92
260927,262949,Gateway Institute Of Tech,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
260928,210671,Urbana High School,"June 1, 2020",2020,3,MATH,Academic Math TOTAL,4,,2.50
260968,141393,Marian Catholic High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,3,,4.00
260981,263065,Saint Louis University Hs,"May 1, 2020",2020,3.36,MATH,Academic Math TOTAL,3,,3.32
260987,150980,Reitz Memorial High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,4.5,,3.48
260991,110277,Aquinas High School,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,3,,3.88
261015,242121,Eagan High School,"June 1, 2020",2020,3.98,MATH,Academic Math TOTAL,6,,4.00
261071,230330,Detroit Country Day School,"June 1, 2020",2020,3.4,MATH,Academic Math TOTAL,3,,3.33
261110,143245,Oak Park & River Forest Hs,"May 1, 2020",2020,3.36,MATH,Academic Math TOTAL,3,,3.17
261125,140185,West Aurora Senior High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
261141,151724,Perry Meridian High School,"May 1, 2020",2020,3.87,MATH,Academic Math TOTAL,3,,3.77
261183,153765,West Vigo High School,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.66
261207,144383,Saint Francis High School,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,4,,3.96
261259,UNKHSC,Unknown High School,"March 1, 2020",2020,,,,,,
261298,141550,Danville High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,5,,3.80
261326,060316,Pine Creek High School,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,3,,3.90
261338,260655,Mary Institute And Saint Louis,"May 1, 2020",2020,3.44,MATH,Academic Math TOTAL,4.5,,3.28
261342,051981,Mission Viejo High School,"June 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.90
261384,220410,Bourne High School,"June 1, 2020",2020,3.93,MATH,Academic Math TOTAL,4,,3.92
261386,330775,Midwood Hs At Brooklyn College,"June 1, 2020",2020,3.8,MATH,Academic Math TOTAL,4,,3.71
261390,290095,Bishop Gorman High School,"May 1, 2020",2020,3.84,MATH,Academic Math TOTAL,4,,3.64
261403,232835,Northville High School,"May 1, 2020",2020,3.61,MATH,Academic Math TOTAL,5,,3.52
261487,152500,Brown County High School,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,4,,3.60
261508,152510,Pike High School,"May 1, 2020",2020,3.51,MATH,Academic Math TOTAL,5,,3.54
261510,051514,The Kings Academy,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,3,,3.57
261570,054166,Vista Del Lago High School,"May 1, 2020",2020,3.6,MATH,Academic Math TOTAL,5,,3.48
261598,431118,L&N Stem Academy,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,3,,3.83
261622,153105,Perry Central Jr Sr High,"May 1, 2020",2020,3.72,MATH,Academic Math TOTAL,4,,3.72
261700,140182,Rosary High School,"May 1, 2020",2020,3.06,MATH,Academic Math TOTAL,3,,2.95
261711,153745,West Lafayette Jr-Sr Hs,"May 1, 2020",2020,3.8,MATH,Academic Math TOTAL,6,,4.00
261723,682420,Taejon Christian Intl School,"June 1, 2020",2020,3.58,MATH,Academic Math TOTAL,2.5,,3.66
261743,153745,West Lafayette Jr-Sr Hs,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,4,,3.50
261745,070600,Lyme-Old Lyme High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
261785,151115,Northeastern Junior-Senior Hs,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,3.34
261827,392990,Villa Joseph Marie High School,"June 1, 2020",2020,3.56,MATH,Academic Math TOTAL,4,,3.62
261829,210945,Severn School,"May 1, 2020",2020,3.53,MATH,Academic Math TOTAL,3,,3.48
261833,110216,Riverwood Intl High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,5,,4.00
261870,152085,Linton-Stockton High School,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,4,,3.64
261925,694292,Wuxi No 1 High School,"June 1, 2020",2020,,,,,,
261933,300135,Dover High School,"June 1, 2020",2020,3.14,MATH,Academic Math TOTAL,2.5,,2.58
261978,694293,Affiliated HS S China Normal,"June 1, 2020",2020,3.08,MATH,Academic Math TOTAL,3,,2.97
262017,152615,Noblesville High School,"June 1, 2020",2020,3.58,MATH,Academic Math TOTAL,3,,2.97
262080,310224,Chatham High School,"June 1, 2020",2020,3.4,MATH,Academic Math TOTAL,4,,3.02
262088,392122,Veritas Scholars Academy,"May 1, 2020",2020,3.75,MATH,Academic Math TOTAL,3,,3.67
262126,333635,Fordham Preparatory School,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,3,,3.67
262179,151110,South Side High School,"June 1, 2020",2020,3.85,MATH,Academic Math TOTAL,4,,3.12
262240,310802,South Brunswick High School,"June 1, 2020",2020,3.4,MATH,Academic Math TOTAL,3,,3.10
262246,053091,Leland High School,"June 1, 2020",2020,3.5,MATH,Academic Math TOTAL,3.5,,3.09
262272,153570,Washington Township Hs,"June 1, 2020",2020,3.76,MATH,Academic Math TOTAL,4,,3.84
262284,192015,Brother Martin High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
262293,400160,La Salle Academy,"June 1, 2019",2019,4,MATH,Academic Math TOTAL,3,,4.00
262345,151585,Carroll High School,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,4,,3.42
262353,150500,Chesterton High School,"May 1, 2020",2020,3.68,MATH,Academic Math TOTAL,3.25,,3.07
262356,233626,Adlai E Stevenson,"June 1, 2020",2020,3.53,MATH,Academic Math TOTAL,3,,3.17
262397,153690,Warsaw Community High School,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,5,,3.73
262418,151915,Harrison High School,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,3.67
262461,142620,Libertyville High School,"May 1, 2020",2020,3.22,MATH,Academic Math TOTAL,3,,3.00
262554,311473,Marine Academy Tech & Env Sci,"June 1, 2020",2020,3.85,MATH,Academic Math TOTAL,6,,3.85
262608,150500,Chesterton High School,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,4,,3.20
262623,240708,Edina High School,"May 1, 2020",2020,3.3,MATH,Academic Math TOTAL,3,,3.15
262626,181610,Saint Xavier High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,4,,3.78
